MENU_01,본부,1,/hq,,,N
MENU_02,사업소,2,,,,Y
MENU_03,상동,3,,,,Y
MENU_04,밀양,4,,,,Y
MENU_05,미전,5,,,,Y
MENU_06,삼랑진,6,,,,Y
MENU_07,원동,7,,,,Y
MENU_08,물금,8,,,,Y
MENU_09,낙동강,9,,,,Y
MENU_10,양산화물,10,,,,Y
MENU_11,한림정,11,,,,Y
MENU_12,화명,12,,,,Y
MENU_13,구포,13,,,,Y
MENU_14,사업소 관리,14,,,,Y
MENU_15,시스템관리,15,,,,Y
MENU_16,신호설비 상태추이 현황,1,/repair2,MENU_02,,Y
MENU_17,열화진단 보수교체,2,/repair/0,MENU_02,,Y
MENU_18,(임시)이상상세조회,3,/AbnormalQueryAnalysis,MENU_02,,N
MENU_19,보수/교체 상세,4,/RepairDetail,MENU_02,,Y
MENU_20,진단 유형 증감 현황,5,/IncDecDetail,MENU_02,,Y
MENU_21,분석 리플레이,5,/AnalyReplay,MENU_02,,N
MENU_22,선로전환기,1,/device/pmd/1/100PMD_NS,MENU_03,,Y
MENU_23,궤도회로,2,/device/tlds/1/100_TLDS_AF,MENU_03,,Y
MENU_24,전원설비,3,/device/powerEquipment/1,MENU_03,,N
MENU_25,안전설비,4,/device/safetyEquipment/1,MENU_03,,N
MENU_26,전자연동장치,5,/device/electronicLinkage/1,MENU_03,,N
MENU_27,ATC장치,6,/device/powerEquipment/1,MENU_03,,N
MENU_28,선로변기능모듈,7,/device/safetyEquipment/1,MENU_03,,N
MENU_29,출입자관리,6,/EntranceMgmt/1,MENU_03,,Y
MENU_30,선로전환기,1,/device/pmd/2/100PMD_NS,MENU_04,,Y
MENU_31,궤도회로,2,/device/tlds/2/100_TLDS_AF,MENU_04,,Y
MENU_32,전원설비,3,/device/powerEquipment/2,MENU_04,,N
MENU_33,안전설비,4,/device/safetyEquipment/2,MENU_04,,N
MENU_34,전자연동장치,5,/device/electronicLinkage/2,MENU_04,,N
MENU_35,ATC장치,6,/device/powerEquipment/2,MENU_04,,N
